Año,Trimestre,Provincia,Banda ancha fija,Dial up,Total
2018,4,Catamarca,33574,90,33664
2018,4,Chaco,103257,130,103387
2018,4,Chubut,77204,1518,78722
2018,4,Córdoba,737234,1050,738284
2018,4,Corrientes,100591,100,100691
2018,4,Entre Ríos,222003,440,222443
2018,4,Formosa,45204,0,45204
2018,4,Jujuy,90132,10,90142
2018,4,La Pampa,85368,2680,88048
2018,4,La Rioja,51633,180,51813
2018,4,Mendoza,204982,1322,206304
2018,4,Misiones,116273,0,116273
2018,4,Neuquén,112309,2056,114365
2018,4,Río Negro,115922,9150,125072
2018,4,Salta,134577,10,134587
2018,4,San Juan,61834,5640,67474
2018,4,San Luis,96040,2910,98950
2018,4,Santa Cruz,24443,3250,27693
2018,4,Santa Fe,720161,2290,722451
2018,4,Santiago Del Estero,89333,20,89353
2018,4,Tierra Del Fuego,45716,5440,51156
2018,4,Tucumán,171972,320,172292
2018,3,Buenos Aires,3599714,10563,3610277
2018,3,Capital Federal,1385804,6686,1392490
2018,3,Catamarca,34215,110,34325
2018,3,Chaco,102021,120,102141
2018,3,Chubut,101310,2426,103736
2018,3,Córdoba,725764,940,726704
2018,3,Corrientes,99445,110,99555
2018,3,Entre Ríos,204560,480,205040
2018,3,Formosa,44865,0,44865
2018,3,Jujuy,44934,10,44944
2018,3,La Pampa,83180,2440,85620
2018,3,La Rioja,51855,170,52025
2018,3,Mendoza,205545,1484,207029
2018,3,Misiones,108042,0,108042
2018,3,Neuquén,114713,2005,116718
2018,3,Río Negro,112433,1059,113492
2018,3,Salta,132882,10,132892
2018,3,San Juan,63823,6580,70403
2018,3,San Luis,74121,3000,77121
2018,3,Santa Cruz,33565,4340,37905
2018,3,Santa Fe,694883,2170,697053
2018,3,Santiago Del Estero,86358,20,86378
2018,3,Tierra Del Fuego,45056,5080,50136
2018,3,Tucumán,171135,310,171445
2018,2,Buenos Aires,3490134,10565,3500699
2018,2,Capital Federal,1362498,6688,1369186
2018,2,Catamarca,34078,110,34188
2018,2,Chaco,98509,120,98629
2018,2,Chubut,98137,2427,100564
2018,2,Córdoba,712979,940,713919
2018,2,Corrientes,97946,110,98056
2018,2,Entre Ríos,199937,480,200417
2018,2,Formosa,44554,0,44554
2018,2,Jujuy,45132,10,45142
2018,2,La Pampa,82177,2440,84617
2018,2,La Rioja,51931,170,52101
2018,2,Mendoza,199468,1484,200952
2018,2,Misiones,106147,0,106147
2018,2,Neuquén,113842,2006,115848
2018,2,Río Negro,111176,1059,112235
2018,2,Salta,134166,10,134176
2018,2,San Juan,63443,6580,70023
2018,2,San Luis,21168,3000,24168
2018,2,Santa Cruz,33970,4350,38320
2018,2,Santa Fe,684243,3090,687333
2018,2,Santiago Del Estero,83773,20,83793
2018,2,Tierra Del Fuego,44199,5080,49279
2018,2,Tucumán,169926,310,170236
2018,1,Buenos Aires,3464882,10564,3475446
2018,1,Capital Federal,1359882,6688,1366570
2018,1,Catamarca,33934,110,34044
2018,1,Chaco,96925,120,97045
2018,1,Chubut,95532,2427,97959
2018,1,Córdoba,713825,1010,714835
2018,1,Corrientes,94406,110,94516
2018,1,Entre Ríos,197346,480,197826
2018,1,Formosa,32328,0,32328
2018,1,Jujuy,44405,10,44415
2018,1,La Pampa,82668,3960,86628
2018,1,La Rioja,52228,170,52398
2018,1,Mendoza,199463,1484,200947
2018,1,Misiones,103580,0,103580
